"","Bird","Plant","Occupancy","Iteration","True_State"
"1",10,1,1,"34",1
"2",10,1,0,"1",1
"3",10,1,2,"30",1
"4",10,1,0,"13",1
"5",10,1,1,"19",1
"6",10,1,1,"51",1
"7",10,1,0,"35",1
"8",10,1,1,"18",1
"9",10,1,1,"17",1
"10",10,1,3,"60",1
"11",10,1,1,"26",1
"12",10,1,0,"47",1
"13",10,1,2,"2",1
"14",10,1,0,"29",1
"15",10,1,1,"14",1
"16",10,1,1,"8",1
"17",10,1,0,"12",1
"18",10,1,1,"9",1
"19",10,1,1,"43",1
"20",10,1,1,"28",1
"21",10,1,0,"10",1
"22",10,1,0,"46",1
"23",10,1,3,"7",1
"24",10,1,0,"45",1
"25",10,1,3,"59",1
"26",10,1,1,"49",1
"27",10,1,5,"3",1
"28",10,1,4,"20",1
"29",10,1,0,"15",1
"30",10,1,3,"54",1
"31",10,1,1,"27",1
"32",10,1,0,"38",1
"33",10,1,1,"24",1
"34",10,1,0,"42",1
"35",10,1,2,"25",1
"36",10,1,1,"41",1
"37",10,1,1,"48",1
"38",10,1,1,"32",1
"39",10,1,1,"33",1
"40",10,1,3,"36",1
"41",10,1,3,"58",1
"42",10,1,4,"52",1
"43",10,1,1,"37",1
"44",10,1,2,"55",1
"45",10,1,0,"50",1
"46",10,1,4,"40",1
"47",10,1,1,"16",1
"48",10,1,2,"23",1
"49",10,1,1,"22",1
"50",10,1,0,"4",1
"51",10,1,3,"31",1
"52",10,1,1,"11",1
"53",10,1,1,"5",1
"54",10,1,1,"56",1
"55",10,1,0,"6",1
"56",10,1,1,"57",1
"57",10,1,2,"21",1
"58",10,1,3,"44",1
"59",10,1,5,"53",1
"60",10,1,3,"39",1
"61",10,10,8,"48",3
"62",10,10,2,"50",3
"63",10,10,5,"51",3
"64",10,10,1,"56",3
"65",10,10,5,"57",3
"66",10,10,5,"54",3
"67",10,10,6,"8",3
"68",10,10,5,"32",3
"69",10,10,0,"6",3
"70",10,10,3,"34",3
"71",10,10,2,"16",3
"72",10,10,4,"18",3
"73",10,10,3,"2",3
"74",10,10,1,"46",3
"75",10,10,2,"1",3
"76",10,10,1,"59",3
"77",10,10,7,"29",3
"78",10,10,2,"39",3
"79",10,10,4,"23",3
"80",10,10,2,"37",3
"81",10,10,4,"33",3
"82",10,10,4,"19",3
"83",10,10,3,"52",3
"84",10,10,7,"20",3
"85",10,10,6,"21",3
"86",10,10,4,"31",3
"87",10,10,5,"30",3
"88",10,10,5,"17",3
"89",10,10,5,"60",3
"90",10,10,3,"58",3
"91",10,10,2,"41",3
"92",10,10,6,"7",3
"93",10,10,4,"49",3
"94",10,10,3,"55",3
"95",10,10,3,"22",3
"96",10,10,6,"35",3
"97",10,10,2,"36",3
"98",10,10,2,"3",3
"99",10,10,1,"53",3
"100",10,10,5,"47",3
"101",10,10,1,"25",3
"102",10,10,6,"24",3
"103",10,10,5,"40",3
"104",10,10,4,"9",3
"105",10,10,3,"13",3
"106",10,10,1,"14",3
"107",10,10,1,"12",3
"108",10,10,4,"38",3
"109",10,10,0,"5",3
"110",10,10,3,"26",3
"111",10,10,6,"15",3
"112",10,10,3,"10",3
"113",10,10,4,"4",3
"114",10,10,7,"43",3
"115",10,10,4,"28",3
"116",10,10,1,"45",3
"117",10,10,9,"27",3
"118",10,10,5,"42",3
"119",10,10,4,"11",3
"120",10,10,3,"44",3
"121",10,11,1,"23",1
"122",10,11,1,"56",1
"123",10,11,0,"50",1
"124",10,11,1,"51",1
"125",10,11,1,"17",1
"126",10,11,1,"14",1
"127",10,11,0,"25",1
"128",10,11,2,"19",1
"129",10,11,0,"24",1
"130",10,11,2,"4",1
"131",10,11,1,"47",1
"132",10,11,2,"6",1
"133",10,11,0,"21",1
"134",10,11,0,"7",1
"135",10,11,1,"38",1
"136",10,11,0,"40",1
"137",10,11,2,"1",1
"138",10,11,2,"34",1
"139",10,11,1,"18",1
"140",10,11,0,"36",1
"141",10,11,1,"31",1
"142",10,11,0,"22",1
"143",10,11,3,"5",1
"144",10,11,0,"45",1
"145",10,11,0,"54",1
"146",10,11,1,"37",1
"147",10,11,1,"3",1
"148",10,11,1,"39",1
"149",10,11,4,"26",1
"150",10,11,1,"8",1
"151",10,11,2,"2",1
"152",10,11,2,"28",1
"153",10,11,1,"12",1
"154",10,11,1,"29",1
"155",10,11,1,"55",1
"156",10,11,3,"33",1
"157",10,11,1,"53",1
"158",10,11,2,"15",1
"159",10,11,2,"48",1
"160",10,11,0,"42",1
"161",10,11,1,"52",1
"162",10,11,1,"13",1
"163",10,11,0,"27",1
"164",10,11,1,"41",1
"165",10,11,2,"60",1
"166",10,11,1,"20",1
"167",10,11,0,"46",1
"168",10,11,0,"16",1
"169",10,11,0,"57",1
"170",10,11,0,"35",1
"171",10,11,2,"9",1
"172",10,11,0,"32",1
"173",10,11,3,"10",1
"174",10,11,0,"43",1
"175",10,11,1,"30",1
"176",10,11,0,"11",1
"177",10,11,0,"49",1
"178",10,11,2,"59",1
"179",10,11,4,"58",1
"180",10,11,2,"44",1
"181",10,12,4,"8",1
"182",10,12,3,"25",1
"183",10,12,0,"57",1
"184",10,12,1,"56",1
"185",10,12,4,"9",1
"186",10,12,5,"28",1
"187",10,12,1,"27",1
"188",10,12,0,"40",1
"189",10,12,1,"42",1
"190",10,12,3,"58",1
"191",10,12,1,"18",1
"192",10,12,1,"6",1
"193",10,12,3,"29",1
"194",10,12,2,"24",1
"195",10,12,1,"59",1
"196",10,12,2,"22",1
"197",10,12,3,"26",1
"198",10,12,0,"32",1
"199",10,12,1,"20",1
"200",10,12,2,"41",1
"201",10,12,3,"39",1
"202",10,12,0,"3",1
"203",10,12,0,"1",1
"204",10,12,0,"12",1
"205",10,12,2,"23",1
"206",10,12,1,"7",1
"207",10,12,1,"10",1
"208",10,12,1,"16",1
"209",10,12,0,"49",1
"210",10,12,5,"15",1
"211",10,12,3,"48",1
"212",10,12,1,"31",1
"213",10,12,2,"14",1
"214",10,12,2,"30",1
"215",10,12,2,"46",1
"216",10,12,0,"13",1
"217",10,12,1,"34",1
"218",10,12,0,"45",1
"219",10,12,0,"5",1
"220",10,12,1,"38",1
"221",10,12,2,"43",1
"222",10,12,3,"60",1
"223",10,12,1,"37",1
"224",10,12,0,"4",1
"225",10,12,2,"21",1
"226",10,12,1,"36",1
"227",10,12,1,"51",1
"228",10,12,2,"19",1
"229",10,12,2,"2",1
"230",10,12,3,"35",1
"231",10,12,2,"55",1
"232",10,12,3,"17",1
"233",10,12,1,"50",1
"234",10,12,1,"33",1
"235",10,12,2,"54",1
"236",10,12,0,"44",1
"237",10,12,1,"47",1
"238",10,12,2,"53",1
"239",10,12,0,"52",1
"240",10,12,1,"11",1
"241",10,13,3,"49",6
"242",10,13,5,"34",6
"243",10,13,0,"2",6
"244",10,13,3,"13",6
"245",10,13,3,"17",6
"246",10,13,3,"18",6
"247",10,13,4,"20",6
"248",10,13,0,"50",6
"249",10,13,2,"19",6
"250",10,13,2,"14",6
"251",10,13,3,"48",6
"252",10,13,4,"9",6
"253",10,13,5,"56",6
"254",10,13,5,"40",6
"255",10,13,3,"1",6
"256",10,13,2,"29",6
"257",10,13,2,"60",6
"258",10,13,5,"46",6
"259",10,13,1,"15",6
"260",10,13,1,"32",6
"261",10,13,6,"16",6
"262",10,13,8,"45",6
"263",10,13,4,"51",6
"264",10,13,2,"30",6
"265",10,13,5,"4",6
"266",10,13,2,"42",6
"267",10,13,4,"41",6
"268",10,13,7,"8",6
"269",10,13,3,"47",6
"270",10,13,8,"25",6
"271",10,13,2,"12",6
"272",10,13,4,"28",6
"273",10,13,4,"31",6
"274",10,13,3,"59",6
"275",10,13,3,"35",6
"276",10,13,4,"52",6
"277",10,13,6,"43",6
"278",10,13,5,"10",6
"279",10,13,6,"57",6
"280",10,13,3,"26",6
"281",10,13,2,"55",6
"282",10,13,3,"24",6
"283",10,13,5,"23",6
"284",10,13,6,"44",6
"285",10,13,3,"36",6
"286",10,13,5,"3",6
"287",10,13,2,"37",6
"288",10,13,7,"33",6
"289",10,13,7,"27",6
"290",10,13,1,"5",6
"291",10,13,5,"7",6
"292",10,13,1,"58",6
"293",10,13,3,"39",6
"294",10,13,7,"38",6
"295",10,13,4,"21",6
"296",10,13,4,"11",6
"297",10,13,1,"6",6
"298",10,13,3,"53",6
"299",10,13,2,"22",6
"300",10,13,5,"54",6
"301",10,14,3,"18",2
"302",10,14,1,"35",2
"303",10,14,3,"3",2
"304",10,14,2,"34",2
"305",10,14,1,"2",2
"306",10,14,5,"50",2
"307",10,14,6,"33",2
"308",10,14,2,"17",2
"309",10,14,5,"21",2
"310",10,14,6,"48",2
"311",10,14,1,"51",2
"312",10,14,5,"19",2
"313",10,14,3,"49",2
"314",10,14,0,"45",2
"315",10,14,2,"1",2
"316",10,14,0,"52",2
"317",10,14,0,"20",2
"318",10,14,3,"7",2
"319",10,14,2,"24",2
"320",10,14,0,"6",2
"321",10,14,4,"31",2
"322",10,14,1,"16",2
"323",10,14,1,"54",2
"324",10,14,4,"47",2
"325",10,14,1,"39",2
"326",10,14,2,"36",2
"327",10,14,1,"4",2
"328",10,14,1,"22",2
"329",10,14,2,"15",2
"330",10,14,2,"14",2
"331",10,14,4,"30",2
"332",10,14,1,"40",2
"333",10,14,1,"13",2
"334",10,14,1,"41",2
"335",10,14,1,"23",2
"336",10,14,1,"60",2
"337",10,14,1,"37",2
"338",10,14,0,"53",2
"339",10,14,2,"5",2
"340",10,14,3,"46",2
"341",10,14,3,"32",2
"342",10,14,2,"59",2
"343",10,14,3,"58",2
"344",10,14,1,"55",2
"345",10,14,4,"56",2
"346",10,14,1,"25",2
"347",10,14,3,"26",2
"348",10,14,0,"42",2
"349",10,14,2,"44",2
"350",10,14,2,"38",2
"351",10,14,6,"28",2
"352",10,14,0,"11",2
"353",10,14,0,"43",2
"354",10,14,2,"57",2
"355",10,14,3,"8",2
"356",10,14,1,"27",2
"357",10,14,1,"10",2
"358",10,14,0,"12",2
"359",10,14,1,"29",2
"360",10,14,2,"9",2
"361",10,15,2,"6",0
"362",10,15,2,"54",0
"363",10,15,0,"36",0
"364",10,15,2,"53",0
"365",10,15,3,"51",0
"366",10,15,3,"7",0
"367",10,15,4,"37",0
"368",10,15,3,"38",0
"369",10,15,3,"23",0
"370",10,15,2,"50",0
"371",10,15,2,"39",0
"372",10,15,2,"49",0
"373",10,15,0,"18",0
"374",10,15,1,"24",0
"375",10,15,1,"25",0
"376",10,15,3,"52",0
"377",10,15,1,"34",0
"378",10,15,3,"55",0
"379",10,15,4,"20",0
"380",10,15,2,"3",0
"381",10,15,1,"33",0
"382",10,15,3,"19",0
"383",10,15,2,"8",0
"384",10,15,0,"31",0
"385",10,15,1,"28",0
"386",10,15,3,"1",0
"387",10,15,2,"5",0
"388",10,15,2,"48",0
"389",10,15,0,"22",0
"390",10,15,1,"4",0
"391",10,15,0,"9",0
"392",10,15,1,"26",0
"393",10,15,1,"57",0
"394",10,15,2,"10",0
"395",10,15,2,"2",0
"396",10,15,1,"15",0
"397",10,15,0,"43",0
"398",10,15,5,"17",0
"399",10,15,5,"13",0
"400",10,15,1,"29",0
"401",10,15,1,"40",0
"402",10,15,0,"16",0
"403",10,15,3,"12",0
"404",10,15,1,"21",0
"405",10,15,0,"14",0
"406",10,15,2,"30",0
"407",10,15,3,"32",0
"408",10,15,1,"56",0
"409",10,15,3,"46",0
"410",10,15,5,"35",0
"411",10,15,0,"60",0
"412",10,15,1,"44",0
"413",10,15,7,"45",0
"414",10,15,1,"27",0
"415",10,15,3,"41",0
"416",10,15,1,"58",0
"417",10,15,1,"59",0
"418",10,15,3,"42",0
"419",10,15,1,"47",0
"420",10,15,0,"11",0
"421",10,16,1,"9",5
"422",10,16,1,"55",5
"423",10,16,6,"26",5
"424",10,16,3,"57",5
"425",10,16,1,"46",5
"426",10,16,1,"48",5
"427",10,16,0,"35",5
"428",10,16,3,"40",5
"429",10,16,4,"44",5
"430",10,16,2,"10",5
"431",10,16,0,"39",5
"432",10,16,1,"7",5
"433",10,16,1,"58",5
"434",10,16,3,"56",5
"435",10,16,0,"38",5
"436",10,16,2,"37",5
"437",10,16,1,"50",5
"438",10,16,2,"54",5
"439",10,16,1,"16",5
"440",10,16,1,"32",5
"441",10,16,4,"41",5
"442",10,16,0,"53",5
"443",10,16,2,"34",5
"444",10,16,5,"14",5
"445",10,16,3,"13",5
"446",10,16,5,"8",5
"447",10,16,1,"23",5
"448",10,16,5,"60",5
"449",10,16,2,"17",5
"450",10,16,2,"5",5
"451",10,16,2,"47",5
"452",10,16,4,"42",5
"453",10,16,3,"27",5
"454",10,16,3,"4",5
"455",10,16,2,"51",5
"456",10,16,5,"45",5
"457",10,16,5,"25",5
"458",10,16,5,"2",5
"459",10,16,3,"6",5
"460",10,16,0,"29",5
"461",10,16,1,"1",5
"462",10,16,3,"49",5
"463",10,16,2,"33",5
"464",10,16,3,"43",5
"465",10,16,3,"22",5
"466",10,16,3,"36",5
"467",10,16,2,"30",5
"468",10,16,2,"15",5
"469",10,16,5,"3",5
"470",10,16,3,"20",5
"471",10,16,3,"12",5
"472",10,16,4,"24",5
"473",10,16,2,"19",5
"474",10,16,0,"59",5
"475",10,16,3,"11",5
"476",10,16,2,"28",5
"477",10,16,0,"18",5
"478",10,16,2,"52",5
"479",10,16,0,"31",5
"480",10,16,4,"21",5
"481",10,17,5,"44",3
"482",10,17,1,"2",3
"483",10,17,4,"33",3
"484",10,17,2,"40",3
"485",10,17,4,"9",3
"486",10,17,0,"3",3
"487",10,17,3,"13",3
"488",10,17,2,"30",3
"489",10,17,2,"47",3
"490",10,17,3,"50",3
"491",10,17,1,"23",3
"492",10,17,2,"12",3
"493",10,17,2,"5",3
"494",10,17,3,"28",3
"495",10,17,2,"45",3
"496",10,17,1,"51",3
"497",10,17,3,"19",3
"498",10,17,1,"57",3
"499",10,17,2,"32",3
"500",10,17,3,"14",3
"501",10,17,4,"15",3
"502",10,17,2,"31",3
"503",10,17,1,"16",3
"504",10,17,1,"46",3
"505",10,17,2,"29",3
"506",10,17,2,"42",3
"507",10,17,4,"59",3
"508",10,17,1,"34",3
"509",10,17,1,"52",3
"510",10,17,0,"41",3
"511",10,17,2,"20",3
"512",10,17,0,"39",3
"513",10,17,3,"49",3
"514",10,17,3,"1",3
"515",10,17,1,"27",3
"516",10,17,1,"48",3
"517",10,17,1,"43",3
"518",10,17,3,"25",3
"519",10,17,4,"36",3
"520",10,17,5,"53",3
"521",10,17,3,"35",3
"522",10,17,3,"17",3
"523",10,17,3,"4",3
"524",10,17,4,"58",3
"525",10,17,2,"10",3
"526",10,17,1,"38",3
"527",10,17,2,"18",3
"528",10,17,2,"22",3
"529",10,17,2,"26",3
"530",10,17,3,"7",3
"531",10,17,4,"60",3
"532",10,17,3,"11",3
"533",10,17,4,"54",3
"534",10,17,3,"8",3
"535",10,17,3,"24",3
"536",10,17,2,"21",3
"537",10,17,1,"55",3
"538",10,17,3,"56",3
"539",10,17,2,"37",3
"540",10,17,2,"6",3
"541",10,18,3,"34",2
"542",10,18,6,"33",2
"543",10,18,6,"1",2
"544",10,18,7,"30",2
"545",10,18,7,"15",2
"546",10,18,2,"48",2
"547",10,18,2,"45",2
"548",10,18,1,"52",2
"549",10,18,2,"35",2
"550",10,18,1,"18",2
"551",10,18,5,"17",2
"552",10,18,5,"50",2
"553",10,18,4,"13",2
"554",10,18,0,"16",2
"555",10,18,10,"49",2
"556",10,18,1,"19",2
"557",10,18,2,"2",2
"558",10,18,1,"5",2
"559",10,18,4,"3",2
"560",10,18,2,"44",2
"561",10,18,4,"14",2
"562",10,18,2,"36",2
"563",10,18,7,"46",2
"564",10,18,3,"6",2
"565",10,18,1,"32",2
"566",10,18,4,"40",2
"567",10,18,10,"29",2
"568",10,18,5,"47",2
"569",10,18,3,"31",2
"570",10,18,1,"51",2
"571",10,18,1,"59",2
"572",10,18,1,"43",2
"573",10,18,5,"28",2
"574",10,18,3,"20",2
"575",10,18,2,"57",2
"576",10,18,0,"39",2
"577",10,18,5,"53",2
"578",10,18,1,"22",2
"579",10,18,3,"21",2
"580",10,18,3,"58",2
"581",10,18,5,"41",2
"582",10,18,0,"4",2
"583",10,18,1,"23",2
"584",10,18,3,"38",2
"585",10,18,2,"27",2
"586",10,18,7,"55",2
"587",10,18,4,"37",2
"588",10,18,2,"12",2
"589",10,18,4,"60",2
"590",10,18,2,"54",2
"591",10,18,2,"56",2
"592",10,18,4,"7",2
"593",10,18,4,"24",2
"594",10,18,2,"8",2
"595",10,18,5,"9",2
"596",10,18,2,"11",2
"597",10,18,7,"42",2
"598",10,18,4,"26",2
"599",10,18,6,"25",2
"600",10,18,2,"10",2
"601",10,19,6,"3",3
"602",10,19,1,"39",3
"603",10,19,3,"7",3
"604",10,19,3,"56",3
"605",10,19,3,"18",3
"606",10,19,1,"37",3
"607",10,19,3,"55",3
"608",10,19,2,"23",3
"609",10,19,2,"4",3
"610",10,19,0,"6",3
"611",10,19,2,"21",3
"612",10,19,1,"5",3
"613",10,19,4,"57",3
"614",10,19,1,"11",3
"615",10,19,2,"34",3
